"source_order_no","source_line_id","source_product_code","source_description","group_code","process_code","production_units","raw_release_value","exception_reason"
"130128556","1","HCL-0417-147-OS","WOMENS CASUAL CAP - PALM ICON","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130128556","2","HCM-1011-100-OS","MENS STRUCTURED CAP - TRI WAVE","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130128556","3","HCM-1019-318-OS","MENS TRUCKER CAP - BOARD STACK","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130128556","4","HCM-1043-619-OS","MENS 5 PANEL CAP - SUN DIAL","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130129468","1","HCL-0417-147-OS","WOMENS CASUAL CAP - PALM ICON","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130129468","2","HCM-1010-723-OS","MENS STRUCTURED CAP - SURF DIAMOND","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130129468","3","HCM-1015-607-OS","MENS CASUAL CAP - MARLIN","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130129468","4","HCM-1016-147-OS","MENS CASUAL CAP - COMBI PATCH","CUSTOM EMB","CUSTOM_EMB","0","Y","CUSTOM_EMB_UNSUPPORTED"
"130135779","33","AJB-0020-999-OS","BOYS SLAP BAND - AUST SURFARI","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130135779","34","AJG-0023-999-OS","GIRLS SLAP BAND - CUTE KOALA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","113","ASG-0013-999-OS","GIRLS BAG TAG SC - I LOVE THE BEACH","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","137","ATB-0002-999-OS","BOYS PUFF STICKER PACK - AUSTRALIANA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","146","ATG-0001-999-OS","GIRLS PUFF STICKER PACK - COASTAL","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","147","ATG-0002-999-OS","GIRLS PUFF STICKER PACK - AUSTRALIANA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","54","AJB-0020-999-OS","BOYS SLAP BAND - AUST SURFARI","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","55","AJB-0021-999-OS","BOYS SLAP BAND - BITE ME","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","56","AJG-0041-999-OS","GIRLS BRACELET FIMO - MERMAID","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","57","AJG-0044-999-OS","GIRLS BRACELET FIMO - TURTLE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","58","AJG-0045-999-OS","GIRLS BRACELET FIMO - KOALA MUM","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","59","AJG-0054-999-OS","GIRLS NECKLACE FIMO - TURTLE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","60","AJG-0153-999-OS","GIRLS STICK ON EARRINGS - COASTAL","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","63","AJG-0166-999-OS","GIRLS CHARM BRACELET - MERMAID","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","64","AJG-0172-999-OS","GIRLS BFF BRACELETS - MERMAID/SEAHORSE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","65","AJG-0176-999-OS","GIRLS HAIR CLIPS - MERMAID","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","66","AJG-0177-999-OS","GIRLS HAIR CLIPS - KOALA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136497","67","AJG-0179-999-OS","GIRLS HAIR CLIPS - TURTLE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","14","CBX-0718-228-1","BABY GIRLS JOGGER PANT - SUMMER DOLPHIN","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","4","BHB-0002-612-BL","BOYS WET HAT - SURF ADVENTURE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","40","SOB-0001-612-SS","BOYS FLIP FLOP - SURF ADVENTURE","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","41","SOG-0929-999-SXS","GIRLS FLIP FLOP - RAINBOW COMBI","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","5","BLM-1076-376-L","MENS BOARDSHORT - ALOHA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
"130136605","6","BLM-1077-603-L","MENS BOARDSHORT - PALOMA","FINISHED","FINISHED_GOODS","0","Y","NON_PRODUCTION / FINISHED"
